  STN,YYYYMMDD,   TN
  240,20170101,    0
  240,20170102,   -1
  240,20170103,   16
  240,20170104,   24
  240,20170105,  -43
  240,20170106,  -59
  240,20170107,  -13
  240,20170108,   11
  240,20170109,   39
  240,20170110,   31
  240,20170111,   49
  240,20170112,    2
  240,20170113,    2
  240,20170114,    0
  240,20170115,  -33
  240,20170116,  -50
  240,20170117,  -67
  240,20170118,  -62
  240,20170119,  -57
  240,20170120,  -51
  240,20170121,  -49
  240,20170122,  -69
  240,20170123,  -63
  240,20170124,   -3
  240,20170125,  -41
  240,20170126,  -48
  240,20170127,  -42
  240,20170128,   24
  240,20170129,   29
  240,20170130,   31
  240,20170131,   31
  240,20170201,    4
  240,20170202,   57
  240,20170203,   62
  240,20170204,   25
  240,20170205,   16
  240,20170206,   16
  240,20170207,    9
  240,20170208,   -9
  240,20170209,  -20
  240,20170210,  -40
  240,20170211,  -16
  240,20170212,  -13
  240,20170213,  -15
  240,20170214,   -3
  240,20170215,   11
  240,20170216,   30
  240,20170217,   51
  240,20170218,   17
  240,20170219,   20
  240,20170220,   73
  240,20170221,   71
  240,20170222,   73
  240,20170223,   41
  240,20170224,   -1
  240,20170225,   11
  240,20170226,   69
  240,20170227,   43
  240,20170228,   21
  240,20170301,   36
  240,20170302,   28
  240,20170303,   12
  240,20170304,   60
  240,20170305,   41
  240,20170306,   25
  240,20170307,   41
  240,20170308,   21
  240,20170309,   11
  240,20170310,   -5
  240,20170311,   25
  240,20170312,   44
  240,20170313,    5
  240,20170314,   33
  240,20170315,   43
  240,20170316,   28
  240,20170317,   65
  240,20170318,   76
  240,20170319,   95
  240,20170320,   82
  240,20170321,   29
  240,20170322,   12
  240,20170323,   19
  240,20170324,   48
  240,20170325,   39
  240,20170326,   54
  240,20170327,   24
  240,20170328,   34
  240,20170329,  105
  240,20170330,   96
  240,20170331,   80
  240,20170401,   58
  240,20170402,   50
  240,20170403,   52
  240,20170404,   45
  240,20170405,   54
  240,20170406,   48
  240,20170407,   76
  240,20170408,   50
  240,20170409,   45
  240,20170410,   39
  240,20170411,   38
  240,20170412,   70
  240,20170413,   43
  240,20170414,   42
  240,20170415,   53
  240,20170416,   47
  240,20170417,   27
  240,20170418,   17
  240,20170419,    3
  240,20170420,    0
  240,20170421,   74
  240,20170422,   40
  240,20170423,   28
  240,20170424,   60
  240,20170425,   29
  240,20170426,   -2
  240,20170427,    4
  240,20170428,   43
  240,20170429,   21
  240,20170430,   52
  240,20170501,   92
  240,20170502,   79
  240,20170503,   79
  240,20170504,   86
  240,20170505,   78
  240,20170506,   67
  240,20170507,   85
  240,20170508,   38
  240,20170509,   29
  240,20170510,   38
  240,20170511,   54
  240,20170512,  123
  240,20170513,   92
  240,20170514,   86
  240,20170515,   73
  240,20170516,  159
  240,20170517,  161
  240,20170518,  130
  240,20170519,   97
  240,20170520,   90
  240,20170521,   72
  240,20170522,   97
  240,20170523,  115
  240,20170524,  100
  240,20170525,   91
  240,20170526,  122
  240,20170527,  165
  240,20170528,  146
  240,20170529,  153
  240,20170530,  155
  240,20170531,  113
  240,20170601,   87
  240,20170602,  126
  240,20170603,  135
  240,20170604,  111
  240,20170605,  114
  240,20170606,  112
  240,20170607,  121
  240,20170608,  121
  240,20170609,  128
  240,20170610,  118
  240,20170611,  129
  240,20170612,  145
  240,20170613,  114
  240,20170614,  102
  240,20170615,  147
  240,20170616,  133
  240,20170617,  149
  240,20170618,  124
  240,20170619,  168
  240,20170620,  158
  240,20170621,  139
  240,20170622,  165
  240,20170623,  163
  240,20170624,  164
  240,20170625,  158
  240,20170626,  120
  240,20170627,  114
  240,20170628,  145
  240,20170629,  137
  240,20170630,  121
  240,20170701,  131
  240,20170702,  106
  240,20170703,  105
  240,20170704,  135
  240,20170705,  132
  240,20170706,  133
  240,20170707,  164
  240,20170708,  115
  240,20170709,   99
  240,20170710,  154
  240,20170711,  153
  240,20170712,  122
  240,20170713,   99
  240,20170714,  106
  240,20170715,  111
  240,20170716,  160
  240,20170717,  128
  240,20170718,  129
  240,20170719,  179
  240,20170720,  144
  240,20170721,  126
  240,20170722,  145
  240,20170723,  133
  240,20170724,  116
  240,20170725,  123
  240,20170726,  130
  240,20170727,  164
  240,20170728,  158
  240,20170729,  164
  240,20170730,  142
  240,20170731,  133
  240,20170801,  128
  240,20170802,  154
  240,20170803,  170
  240,20170804,  162
  240,20170805,  119
  240,20170806,  107
  240,20170807,  111
  240,20170808,  129
  240,20170809,  126
  240,20170810,  106
  240,20170811,  132
  240,20170812,  120
  240,20170813,  113
  240,20170814,  126
  240,20170815,  142
  240,20170816,  112
  240,20170817,  151
  240,20170818,  127
  240,20170819,  126
  240,20170820,  127
  240,20170821,  120
  240,20170822,  133
  240,20170823,  137
  240,20170824,  137
  240,20170825,  125
  240,20170826,  129
  240,20170827,  119
  240,20170828,  137
  240,20170829,  150
  240,20170830,  134
  240,20170831,   98
  240,20170901,   89
  240,20170902,   89
  240,20170903,   74
  240,20170904,  112
  240,20170905,  165
  240,20170906,  133
  240,20170907,  139
  240,20170908,  126
  240,20170909,  102
  240,20170910,   99
  240,20170911,  120
  240,20170912,  128
  240,20170913,  121
  240,20170914,   99
  240,20170915,   92
  240,20170916,   87
  240,20170917,   60
  240,20170918,   84
  240,20170919,   95
  240,20170920,  106
  240,20170921,  109
  240,20170922,   72
  240,20170923,   63
  240,20170924,   69
  240,20170925,  102
  240,20170926,  109
  240,20170927,   84
  240,20170928,  128
  240,20170929,  128
  240,20170930,   82
  240,20171001,   94
  240,20171002,  139
  240,20171003,  118
  240,20171004,  122
  240,20171005,  114
  240,20171006,  101
  240,20171007,  103
  240,20171008,  112
  240,20171009,  107
  240,20171010,  121
  240,20171011,  136
  240,20171012,  104
  240,20171013,  107
  240,20171014,  108
  240,20171015,  109
  240,20171016,  134
  240,20171017,   82
  240,20171018,  106
  240,20171019,  115
  240,20171020,  107
  240,20171021,  108
  240,20171022,   99
