"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","MEATCONSUMP","BEEF","KG_CAP","A","2017",21.106295095,
"AUS","MEATCONSUMP","PIG","KG_CAP","A","2017",21.262873725,
"AUS","MEATCONSUMP","POULTRY","KG_CAP","A","2017",44.009313384,
"AUS","MEATCONSUMP","SHEEP","KG_CAP","A","2017",8.569871813,
"CAN","MEATCONSUMP","BEEF","KG_CAP","A","2017",17.281666209,
"CAN","MEATCONSUMP","PIG","KG_CAP","A","2017",16.541302624,
"CAN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",35.146960283,
"CAN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.900059692,
"JPN","MEATCONSUMP","BEEF","KG_CAP","A","2017",7.16972054,
"JPN","MEATCONSUMP","PIG","KG_CAP","A","2017",15.464158297,
"JPN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",16.871192432,
"JPN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.145649829,
"KOR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.253773811,
"KOR","MEATCONSUMP","PIG","KG_CAP","A","2017",29.846174027,
"KOR","MEATCONSUMP","POULTRY","KG_CAP","A","2017",17.174619851,
"KOR","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.260624392,
"MEX","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.818529455,
"MEX","MEATCONSUMP","PIG","KG_CAP","A","2017",12.264567102,
"MEX","MEATCONSUMP","POULTRY","KG_CAP","A","2017",27.745338395,
"MEX","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.507681585,
"NZL","MEATCONSUMP","BEEF","KG_CAP","A","2017",12.941441849,
"NZL","MEATCONSUMP","PIG","KG_CAP","A","2017",17.735509108,
"NZL","MEATCONSUMP","POULTRY","KG_CAP","A","2017",37.026525038,
"NZL","MEATCONSUMP","SHEEP","KG_CAP","A","2017",4.488080075,
"TUR","MEATCONSUMP","BEEF","KG_CAP","A","2017",10.351106199,
"TUR","MEATCONSUMP","PIG","KG_CAP","A","2017",0.067969007,
"TUR","MEATCONSUMP","POULTRY","KG_CAP","A","2017",17.667572902,
"TUR","MEATCONSUMP","SHEEP","KG_CAP","A","2017",4.173966214,
"USA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.914323559,
"USA","MEATCONSUMP","PIG","KG_CAP","A","2017",23.120527188,
"USA","MEATCONSUMP","POULTRY","KG_CAP","A","2017",48.938794283,
"USA","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.423887724,
"ARG","MEATCONSUMP","BEEF","KG_CAP","A","2017",39.639909755,
"ARG","MEATCONSUMP","PIG","KG_CAP","A","2017",10.571246292,
"ARG","MEATCONSUMP","POULTRY","KG_CAP","A","2017",39.953885159,
"ARG","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.209830344,
"BRA","MEATCONSUMP","BEEF","KG_CAP","A","2017",25.93067421,
"BRA","MEATCONSUMP","PIG","KG_CAP","A","2017",11.382904021,
"BRA","MEATCONSUMP","POULTRY","KG_CAP","A","2017",37.393176572,
"BRA","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.529795978,
"CHL","MEATCONSUMP","BEEF","KG_CAP","A","2017",18.765201563,
"CHL","MEATCONSUMP","PIG","KG_CAP","A","2017",18.620087431,
"CHL","MEATCONSUMP","POULTRY","KG_CAP","A","2017",35.634385953,
"CHL","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.512757831,
"CHN","MEATCONSUMP","BEEF","KG_CAP","A","2017",3.913892856,
"CHN","MEATCONSUMP","PIG","KG_CAP","A","2017",30.296546634,
"CHN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",11.879608146,
"CHN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",3.066695095,
"COL","MEATCONSUMP","BEEF","KG_CAP","A","2017",11.470359113,
"COL","MEATCONSUMP","PIG","KG_CAP","A","2017",7.090101149,
"COL","MEATCONSUMP","POULTRY","KG_CAP","A","2017",28.610187185,
"COL","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.179497001,
"EGY","MEATCONSUMP","BEEF","KG_CAP","A","2017",8.761373718,
"EGY","MEATCONSUMP","PIG","KG_CAP","A","2017",0.008796001,
"EGY","MEATCONSUMP","POULTRY","KG_CAP","A","2017",11.397678932,
"EGY","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.16591062,
"ETH","MEATCONSUMP","BEEF","KG_CAP","A","2017",2.318250053,
"ETH","MEATCONSUMP","PIG","KG_CAP","A","2017",0.014878837,
"ETH","MEATCONSUMP","POULTRY","KG_CAP","A","2017",0.511658006,
"ETH","MEATCONSUMP","SHEEP","KG_CAP","A","2017",1.217422102,
"IND","MEATCONSUMP","BEEF","KG_CAP","A","2017",0.514396877,
"IND","MEATCONSUMP","PIG","KG_CAP","A","2017",0.208915864,
"IND","MEATCONSUMP","POULTRY","KG_CAP","A","2017",2.140015026,
"IND","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.461987244,
"IDN","MEATCONSUMP","BEEF","KG_CAP","A","2017",1.817940964,
"IDN","MEATCONSUMP","PIG","KG_CAP","A","2017",2.330737517,
"IDN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",6.978768519,
"IDN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",0.359009231,
"IRN","MEATCONSUMP","BEEF","KG_CAP","A","2017",2.822846078,
"IRN","MEATCONSUMP","PIG","KG_CAP","A","2017",0.000001826,
"IRN","MEATCONSUMP","POULTRY","KG_CAP","A","2017",22.920847477,
"IRN","MEATCONSUMP","SHEEP","KG_CAP","A","2017",3.264649282,
